head_size	brain_weight
3439	1192
3000	1090
3566	1306
3358	1190
4308	1506
3399	1226
3399	1173
3856	1430
3279	1265
3666	1270
3451	1340
3228	1235
3389	1130
3787	1318
3443	1340
3618	1290
3916	1360
3401	1140
4261	1335
3858	1390
4200	1256
3609	1210
3104	1080
4270	1335
3394	1195
4046	1450
3203	1180
3090	1168
3372	1154
3344	1220
3436	1235
3493	1240
3297	1220
3530	1252
3329	1135
3124	1165
3850	1412
3524	1250
4114	1362
3506	1280
3903	1334
3478	1270
3249	1279
2864	1012
3661	1320
2939	1060
3796	1432
3497	1358
3876	1405
3594	1290
3479	1103
3724	1280
2720	955
3277	1105
3669	1222
3654	1242
3165	1215
3687	1355
3662	1230
3533	1210
3907	1440
4158	1432
3703	1350
3704	1220
3145	1202
3479	1160
3490	1132
3158	1100
4046	1287
4161	1405
3716	1300
2937	1070
3804	1570
3071	1078
3589	1250
3267	1243
4022	1485
3692	1305
3292	1075
3156	1225
3647	1408
3930	1252
3863	1340
4512	1530
2989	1130
3878	1357
3181	1175
3466	1292
3503	1240
4063	1390
4005	1280
3933	1309
4032	1425
3309	1120
3558	1225
3642	1205
3302	1165
3394	1215
3613	1355
3171	1127
3782	1350
3082	1180
4430	1620
3982	1375
4057	1432
3900	1270
3615	1350
3793	1350
3803	1374
3360	1095
2857	1027
4442	1330
3352	1170
3165	1237
3492	1250
3804	1275
3890	1310
4006	1302
3246	1180
3707	1235
3571	1316
3735	1350
3641	1311
3577	1245
3248	1250
3779	1520
3268	1142
3393	1175
3415	1310
3995	1296
3354	1204
3391	1125
3362	1188
3993	1380
3067	1150
3214	1110
3170	1178
4103	1364
3779	1165
2773	1076
3473	1240
3853	1373
3832	1208
3680	1321
3979	1324
3318	1192
4175	1420
3748	1350
4012	1400
3458	1225
3791	1260
4208	1522
4177	1590
3824	1240
3727	1470
3580	1320
3935	1330
4034	1422
